,No,year,month,day,hour,season,PM_Dongsi,PM_Dongsihuan,PM_Nongzhanguan,PM_US Post,DEWP,HUMI,PRES,TEMP,cbwd,Iws,precipitation,Iprec
26331,26332,2013,1,2,3,4,,,,17.0,-28.0,25.0,1035.0,-12.0,NW,156.03,0.0,0.0
26332,26333,2013,1,2,4,4,,,,17.0,-28.0,25.0,1035.0,-12.0,NW,163.18,0.0,0.0
26333,26334,2013,1,2,5,4,,,,17.0,-28.0,27.0,1036.0,-13.0,NW,168.99,0.0,0.0
26334,26335,2013,1,2,6,4,,,,15.0,-28.0,27.0,1036.0,-13.0,NW,177.04,0.0,0.0
26335,26336,2013,1,2,7,4,,,,13.0,-28.0,27.0,1036.0,-13.0,NW,185.09,0.0,0.0
26336,26337,2013,1,2,8,4,,,,15.0,-27.0,27.0,1037.0,-12.0,NW,194.03,0.0,0.0
26337,26338,2013,1,2,9,4,,,,15.0,-27.0,25.0,1039.0,-11.0,NW,202.08,0.0,0.0
26338,26339,2013,1,2,10,4,,,,16.0,-28.0,21.0,1040.0,-10.0,NW,213.26,0.0,0.0
26339,26340,2013,1,2,11,4,,,,13.0,-28.0,19.0,1041.0,-9.0,NW,223.09,0.0,0.0
26340,26341,2013,1,2,12,4,,,,19.0,-29.0,18.0,1041.0,-9.0,NW,234.27,0.0,0.0
26341,26342,2013,1,2,13,4,,,,20.0,-28.0,18.0,1040.0,-8.0,NW,245.45,0.0,0.0
26342,26343,2013,1,2,14,4,,,,19.0,-27.0,20.0,1040.0,-8.0,NW,256.63,0.0,0.0
26343,26344,2013,1,2,15,4,,,,19.0,-27.0,20.0,1040.0,-8.0,NW,267.81,0.0,0.0
26344,26345,2013,1,2,16,4,,,,25.0,-27.0,20.0,1041.0,-8.0,NW,277.64,0.0,0.0
26345,26346,2013,1,2,17,4,,,,22.0,-27.0,20.0,1042.0,-8.0,NW,287.47,0.0,0.0
26346,26347,2013,1,2,18,4,,,,25.0,-26.0,25.0,1043.0,-10.0,NW,296.41,0.0,0.0
26347,26348,2013,1,2,19,4,,,,20.0,-26.0,25.0,1044.0,-10.0,NW,306.24,0.0,0.0
26348,26349,2013,1,2,20,4,,,,19.0,-28.0,21.0,1044.0,-10.0,NW,315.18,0.0,0.0
26349,26350,2013,1,2,21,4,,,,21.0,-27.0,23.0,1045.0,-10.0,NW,325.01,0.0,0.0
26350,26351,2013,1,2,22,4,,,,27.0,-27.0,25.0,1046.0,-11.0,NW,332.16,0.0,0.0
26351,26352,2013,1,2,23,4,,,,23.0,-26.0,27.0,1046.0,-11.0,NW,341.1,0.0,0.0
26352,26353,2013,1,3,0,4,,,,21.0,-27.0,25.0,1046.0,-11.0,NW,350.04,0.0,0.0
26353,26354,2013,1,3,1,4,,,,20.0,-28.0,23.0,1046.0,-11.0,NW,359.87,0.0,0.0
26354,26355,2013,1,3,2,4,,,,18.0,-28.0,23.0,1046.0,-11.0,NW,367.02,0.0,0.0
26355,26356,2013,1,3,3,4,,,,20.0,-28.0,25.0,1046.0,-12.0,NW,375.07,0.0,0.0
26356,26357,2013,1,3,4,4,,,,20.0,-28.0,25.0,1046.0,-12.0,NW,384.01,0.0,0.0
26357,26358,2013,1,3,5,4,,,,13.0,-28.0,25.0,1045.0,-12.0,NW,393.84,0.0,0.0
26358,26359,2013,1,3,6,4,,,,13.0,-27.0,29.0,1045.0,-13.0,NE,4.92,0.0,0.0
26359,26360,2013,1,3,7,4,,,,17.0,-26.0,35.0,1045.0,-14.0,NE,9.84,0.0,0.0
26360,26361,2013,1,3,8,4,,,,22.0,-25.0,33.0,1046.0,-12.0,NW,1.79,0.0,0.0
26361,26362,2013,1,3,9,4,,,,29.0,-26.0,25.0,1046.0,-10.0,NE,4.02,0.0,0.0
26362,26363,2013,1,3,10,4,,,,26.0,-26.0,23.0,1046.0,-9.0,NE,8.04,0.0,0.0
26363,26364,2013,1,3,11,4,,,,26.0,-25.0,24.0,1046.0,-8.0,NW,4.92,0.0,0.0
26364,26365,2013,1,3,12,4,,,,18.0,-25.0,22.0,1044.0,-7.0,NE,4.02,0.0,0.0
26365,26366,2013,1,3,13,4,,,,20.0,-24.0,22.0,1043.0,-6.0,NW,4.02,0.0,0.0
26366,26367,2013,1,3,14,4,,,,26.0,-24.0,22.0,1042.0,-6.0,NE,3.13,0.0,0.0
26367,26368,2013,1,3,15,4,,,,24.0,-24.0,20.0,1041.0,-5.0,NW,3.13,0.0,0.0
26368,26369,2013,1,3,16,4,,,,18.0,-23.0,22.0,1041.0,-5.0,NW,4.92,0.0,0.0
26369,26370,2013,1,3,17,4,,,,25.0,-23.0,28.0,1041.0,-8.0,cv,0.89,0.0,0.0
26370,26371,2013,1,3,18,4,,,,34.0,-20.0,40.0,1041.0,-9.0,NE,1.79,0.0,0.0
26371,26372,2013,1,3,19,4,,,,37.0,-21.0,40.0,1041.0,-10.0,NW,1.79,0.0,0.0
26372,26373,2013,1,3,20,4,,,,36.0,-21.0,43.0,1040.0,-11.0,NW,3.58,0.0,0.0
26373,26374,2013,1,3,21,4,,,,42.0,-21.0,43.0,1040.0,-11.0,NW,5.37,0.0,0.0
26374,26375,2013,1,3,22,4,,,,40.0,-21.0,47.0,1040.0,-12.0,NW,7.16,0.0,0.0
26375,26376,2013,1,3,23,4,,,,37.0,-21.0,47.0,1040.0,-12.0,NW,10.29,0.0,0.0
26376,26377,2013,1,4,0,4,,,,33.0,-21.0,55.0,1039.0,-14.0,NW,12.08,0.0,0.0
26377,26378,2013,1,4,1,4,,,,35.0,-21.0,60.0,1039.0,-15.0,NW,15.21,0.0,0.0
26378,26379,2013,1,4,2,4,,,,58.0,-22.0,59.0,1038.0,-16.0,NW,18.34,0.0,0.0
26379,26380,2013,1,4,3,4,,,,56.0,-22.0,65.0,1038.0,-17.0,NW,20.13,0.0,0.0
26380,26381,2013,1,4,4,4,,,,62.0,-21.0,55.0,1037.0,-14.0,NW,23.26,0.0,0.0
26381,26382,2013,1,4,5,4,,,,37.0,-22.0,55.0,1036.0,-15.0,NW,26.39,0.0,0.0
26382,26383,2013,1,4,6,4,,,,37.0,-23.0,54.0,1036.0,-16.0,NW,28.18,0.0,0.0
26383,26384,2013,1,4,7,4,,,,41.0,-22.0,55.0,1035.0,-15.0,NW,29.97,0.0,0.0
26384,26385,2013,1,4,8,4,,,,41.0,-22.0,59.0,1035.0,-16.0,NW,31.76,0.0,0.0
26385,26386,2013,1,4,9,4,,,,39.0,-20.0,47.0,1035.0,-11.0,NW,34.89,0.0,0.0
26386,26387,2013,1,4,10,4,,,,48.0,-21.0,34.0,1035.0,-8.0,NW,38.02,0.0,0.0
26387,26388,2013,1,4,11,4,,,,59.0,-22.0,29.0,1034.0,-7.0,cv,0.89,0.0,0.0
26388,26389,2013,1,4,12,4,,,,63.0,-21.0,27.0,1032.0,-5.0,NW,1.79,0.0,0.0
26389,26390,2013,1,4,13,4,,,,74.0,-22.0,24.0,1031.0,-5.0,NW,4.92,0.0,0.0
26390,26391,2013,1,4,14,4,,,,69.0,-22.0,21.0,1029.0,-3.0,cv,1.79,0.0,0.0
26391,26392,2013,1,4,15,4,,,,79.0,-23.0,19.0,1029.0,-3.0,NW,3.13,0.0,0.0
26392,26393,2013,1,4,16,4,,,,89.0,-23.0,21.0,1029.0,-4.0,SE,3.13,0.0,0.0
26393,26394,2013,1,4,17,4,,,,94.0,-22.0,23.0,1028.0,-4.0,SE,4.92,0.0,0.0
26394,26395,2013,1,4,18,4,,,,113.0,-21.0,37.0,1028.0,-9.0,NE,1.79,0.0,0.0
26395,26396,2013,1,4,19,4,,,,132.0,-20.0,40.0,1028.0,-9.0,cv,0.45,0.0,0.0
26396,26397,2013,1,4,20,4,,,,186.0,-18.0,51.0,1029.0,-10.0,cv,0.9,0.0,0.0
26397,26398,2013,1,4,21,4,,,,205.0,-18.0,60.0,1029.0,-12.0,cv,1.79,0.0,0.0
26398,26399,2013,1,4,22,4,,,,204.0,-18.0,66.0,1029.0,-13.0,cv,2.68,0.0,0.0
26399,26400,2013,1,4,23,4,,,,198.0,-19.0,71.0,1029.0,-15.0,NW,1.79,0.0,0.0
26400,26401,2013,1,5,0,4,,,,176.0,-18.0,71.0,1029.0,-14.0,NW,2.68,0.0,0.0
26401,26402,2013,1,5,1,4,,,,111.0,-20.0,60.0,1028.0,-14.0,cv,0.89,0.0,0.0
26402,26403,2013,1,5,2,4,,,,140.0,-20.0,47.0,1028.0,-11.0,NE,3.13,0.0,0.0
26403,26404,2013,1,5,3,4,,,,78.0,-22.0,50.0,1028.0,-14.0,NW,3.13,0.0,0.0
26404,26405,2013,1,5,4,4,,,,30.0,-21.0,55.0,1028.0,-14.0,NW,8.05,0.0,0.0
26405,26406,2013,1,5,5,4,,,,31.0,-21.0,47.0,1028.0,-12.0,NW,12.97,0.0,0.0
26406,26407,2013,1,5,6,4,,,,34.0,-22.0,36.0,1028.0,-10.0,NE,4.92,0.0,0.0
26407,26408,2013,1,5,7,4,,,,29.0,-23.0,36.0,1029.0,-11.0,NW,4.02,0.0,0.0
26408,26409,2013,1,5,8,4,,,,40.0,-22.0,31.0,1029.0,-8.0,NW,8.04,0.0,0.0
26409,26410,2013,1,5,9,4,,,,43.0,-23.0,26.0,1030.0,-7.0,NE,4.92,0.0,0.0
26410,26411,2013,1,5,10,4,,,,43.0,-23.0,22.0,1030.0,-5.0,NE,10.73,0.0,0.0
26411,26412,2013,1,5,11,4,,,,39.0,-23.0,18.0,1030.0,-2.0,NW,4.92,0.0,0.0
26412,26413,2013,1,5,12,4,,,,38.0,-22.0,21.0,1029.0,-3.0,NE,4.92,0.0,0.0
26413,26414,2013,1,5,13,4,,,,37.0,-22.0,19.0,1028.0,-2.0,NE,9.84,0.0,0.0
26414,26415,2013,1,5,14,4,,,,37.0,-22.0,18.0,1027.0,-1.0,NE,13.86,0.0,0.0
26415,26416,2013,1,5,15,4,,,,36.0,-22.0,17.0,1028.0,0.0,NE,16.99,0.0,0.0
26416,26417,2013,1,5,16,4,,,,41.0,-22.0,18.0,1028.0,-1.0,NE,18.78,0.0,0.0
26417,26418,2013,1,5,17,4,,,,49.0,-21.0,23.0,1028.0,-3.0,NE,19.67,0.0,0.0
26418,26419,2013,1,5,18,4,,,,69.0,-20.0,29.0,1029.0,-5.0,NE,20.56,0.0,0.0
26419,26420,2013,1,5,19,4,,,,86.0,-20.0,37.0,1029.0,-8.0,NW,1.79,0.0,0.0
26420,26421,2013,1,5,20,4,,,,73.0,-19.0,47.0,1029.0,-10.0,NW,4.92,0.0,0.0
26421,26422,2013,1,5,21,4,,,,64.0,-20.0,40.0,1029.0,-9.0,NW,8.05,0.0,0.0
26422,26423,2013,1,5,22,4,,,,72.0,-20.0,40.0,1030.0,-9.0,NW,11.18,0.0,0.0
26423,26424,2013,1,5,23,4,,,,72.0,-18.0,48.0,1030.0,-9.0,NW,14.31,0.0,0.0
26424,26425,2013,1,6,0,4,,,,49.0,-19.0,47.0,1030.0,-10.0,NE,1.79,0.0,0.0
26425,26426,2013,1,6,1,4,,,,48.0,-18.0,44.0,1030.0,-8.0,NE,4.92,0.0,0.0
26426,26427,2013,1,6,2,4,,,,34.0,-19.0,47.0,1030.0,-10.0,NW,3.13,0.0,0.0
26427,26428,2013,1,6,3,4,,,,40.0,-18.0,56.0,1030.0,-11.0,NW,7.15,0.0,0.0
26428,26429,2013,1,6,4,4,,,,39.0,-18.0,66.0,1029.0,-13.0,NW,10.28,0.0,0.0
26429,26430,2013,1,6,5,4,,,,30.0,-18.0,66.0,1029.0,-13.0,NW,14.3,0.0,0.0
26430,26431,2013,1,6,6,4,,,,32.0,-18.0,60.0,1029.0,-12.0,NW,18.32,0.0,0.0
26431,26432,2013,1,6,7,4,,,,41.0,-18.0,60.0,1029.0,-12.0,NW,22.34,0.0,0.0
26432,26433,2013,1,6,8,4,,,,45.0,-18.0,56.0,1029.0,-11.0,NW,25.47,0.0,0.0
26433,26434,2013,1,6,9,4,,,,61.0,-17.0,44.0,1030.0,-7.0,NW,28.6,0.0,0.0
26434,26435,2013,1,6,10,4,,,,50.0,-18.0,35.0,1030.0,-5.0,NW,31.73,0.0,0.0
26435,26436,2013,1,6,11,4,,,,65.0,-19.0,27.0,1029.0,-3.0,NW,34.86,0.0,0.0
26436,26437,2013,1,6,12,4,,,,70.0,-19.0,27.0,1028.0,-3.0,NE,1.79,0.0,0.0
26437,26438,2013,1,6,13,4,,,,78.0,-19.0,25.0,1027.0,-2.0,NW,1.79,0.0,0.0
26438,26439,2013,1,6,14,4,,,,108.0,-19.0,24.0,1026.0,-1.0,NW,3.58,0.0,0.0
26439,26440,2013,1,6,15,4,,,,142.0,-19.0,24.0,1025.0,-1.0,SE,3.13,0.0,0.0
26440,26441,2013,1,6,16,4,,,,193.0,-18.0,26.0,1025.0,-1.0,SE,6.26,0.0,0.0
26441,26442,2013,1,6,17,4,,,,204.0,-18.0,26.0,1025.0,-1.0,SE,9.39,0.0,0.0
26442,26443,2013,1,6,18,4,,,,266.0,-17.0,33.0,1025.0,-3.0,SE,12.52,0.0,0.0
26443,26444,2013,1,6,19,4,,,,335.0,-16.0,33.0,1026.0,-2.0,SE,15.65,0.0,0.0
26444,26445,2013,1,6,20,4,,,,392.0,-16.0,45.0,1025.0,-6.0,cv,0.45,0.0,0.0
26445,26446,2013,1,6,21,4,,,,413.0,-15.0,52.0,1026.0,-7.0,NE,0.89,0.0,0.0
26446,26447,2013,1,6,22,4,,,,339.0,-14.0,67.0,1026.0,-9.0,cv,0.89,0.0,0.0
26447,26448,2013,1,6,23,4,,,,285.0,-14.0,72.0,1026.0,-10.0,SE,0.89,0.0,0.0
26448,26449,2013,1,7,0,4,,,,236.0,-14.0,72.0,1026.0,-10.0,cv,0.45,0.0,0.0
26449,26450,2013,1,7,1,4,,,,173.0,-16.0,72.0,1026.0,-12.0,NW,1.79,0.0,0.0
26450,26451,2013,1,7,2,4,,,,159.0,-17.0,71.0,1025.0,-13.0,NW,4.92,0.0,0.0
26451,26452,2013,1,7,3,4,,,,128.0,-16.0,72.0,1025.0,-12.0,NW,8.05,0.0,0.0
26452,26453,2013,1,7,4,4,,,,99.0,-17.0,66.0,1025.0,-12.0,NW,9.84,0.0,0.0
26453,26454,2013,1,7,5,4,,,,89.0,-16.0,72.0,1025.0,-12.0,NW,11.63,0.0,0.0
26454,26455,2013,1,7,6,4,,,,88.0,-17.0,77.0,1025.0,-14.0,NW,14.76,0.0,0.0
26455,26456,2013,1,7,7,4,,,,84.0,-17.0,66.0,1025.0,-12.0,NW,16.55,0.0,0.0
26456,26457,2013,1,7,8,4,,,,71.0,-16.0,66.0,1025.0,-11.0,NW,19.68,0.0,0.0
26457,26458,2013,1,7,9,4,,,,76.0,-15.0,52.0,1026.0,-7.0,NW,21.47,0.0,0.0
26458,26459,2013,1,7,10,4,,,,78.0,-16.0,41.0,1026.0,-5.0,NW,23.26,0.0,0.0
26459,26460,2013,1,7,11,4,,,,89.0,-16.0,41.0,1026.0,-5.0,cv,0.89,0.0,0.0
26460,26461,2013,1,7,12,4,,,,102.0,-15.0,39.0,1025.0,-3.0,NW,3.13,0.0,0.0
26461,26462,2013,1,7,13,4,,,,113.0,-15.0,33.0,1025.0,-1.0,cv,1.79,0.0,0.0
26462,26463,2013,1,7,14,4,,,,134.0,-18.0,22.0,1024.0,1.0,NW,1.79,0.0,0.0
26463,26464,2013,1,7,15,4,,,,33.0,-19.0,20.0,1024.0,1.0,cv,0.89,0.0,0.0
26464,26465,2013,1,7,16,4,,,,133.0,-19.0,22.0,1024.0,0.0,cv,1.34,0.0,0.0
26465,26466,2013,1,7,17,4,,,,150.0,-16.0,35.0,1024.0,-3.0,cv,2.23,0.0,0.0
26466,26467,2013,1,7,18,4,,,,164.0,-15.0,42.0,1024.0,-4.0,SE,0.89,0.0,0.0
26467,26468,2013,1,7,19,4,,,,194.0,-14.0,57.0,1025.0,-7.0,NE,0.89,0.0,0.0
26468,26469,2013,1,7,20,4,,,,233.0,-14.0,57.0,1026.0,-7.0,SE,1.79,0.0,0.0
26469,26470,2013,1,7,21,4,,,,250.0,-14.0,61.0,1026.0,-8.0,SE,2.68,0.0,0.0
26470,26471,2013,1,7,22,4,,,,299.0,-14.0,57.0,1027.0,-7.0,cv,0.45,0.0,0.0
26471,26472,2013,1,7,23,4,,,,333.0,-13.0,67.0,1027.0,-8.0,cv,0.9,0.0,0.0
26472,26473,2013,1,8,0,4,,,,357.0,-14.0,72.0,1028.0,-10.0,NW,1.79,0.0,0.0
26473,26474,2013,1,8,1,4,,,,390.0,-14.0,72.0,1028.0,-10.0,NE,0.89,0.0,0.0
26474,26475,2013,1,8,2,4,,,,326.0,-13.0,67.0,1029.0,-8.0,NE,2.68,0.0,0.0
26475,26476,2013,1,8,3,4,,,,402.0,-14.0,67.0,1029.0,-9.0,NE,3.57,0.0,0.0
26476,26477,2013,1,8,4,4,,,,365.0,-14.0,72.0,1029.0,-10.0,NE,4.46,0.0,0.0
26477,26478,2013,1,8,5,4,,,,257.0,-15.0,84.0,1029.0,-13.0,NW,1.79,0.0,0.0
26478,26479,2013,1,8,6,4,,,,135.0,-14.0,85.0,1030.0,-12.0,NW,4.92,0.0,0.0
26479,26480,2013,1,8,7,4,,,,159.0,-15.0,72.0,1030.0,-11.0,NW,6.71,0.0,0.0
26480,26481,2013,1,8,8,4,,,,170.0,-13.0,78.0,1032.0,-10.0,NE,1.79,0.0,0.0
26481,26482,2013,1,8,9,4,,,,36.0,-11.0,73.0,1033.0,-7.0,cv,0.89,0.0,0.0
26482,26483,2013,1,8,10,4,,,,19.0,-16.0,38.0,1033.0,-4.0,NW,8.05,0.0,0.0
26483,26484,2013,1,8,11,4,,,,20.0,-17.0,33.0,1033.0,-3.0,NW,15.2,0.0,0.0
26484,26485,2013,1,8,12,4,,,,18.0,-19.0,25.0,1031.0,-2.0,NW,23.25,0.0,0.0
26485,26486,2013,1,8,13,4,,,,19.0,-19.0,25.0,1031.0,-2.0,NW,33.08,0.0,0.0
26486,26487,2013,1,8,14,4,,,,14.0,-20.0,23.0,1031.0,-2.0,NW,40.23,0.0,0.0
26487,26488,2013,1,8,15,4,,,,11.0,-20.0,23.0,1031.0,-2.0,NW,45.15,0.0,0.0
26488,26489,2013,1,8,16,4,,,,16.0,-21.0,21.0,1031.0,-2.0,NW,52.3,0.0,0.0
26489,26490,2013,1,8,17,4,,,,19.0,-22.0,21.0,1031.0,-3.0,NW,58.11,0.0,0.0
26490,26491,2013,1,8,18,4,,,,18.0,-21.0,25.0,1031.0,-4.0,NW,63.03,0.0,0.0
26491,26492,2013,1,8,19,4,,,,21.0,-21.0,34.0,1032.0,-8.0,NW,67.05,0.0,0.0
26492,26493,2013,1,8,20,4,,,,21.0,-22.0,36.0,1032.0,-10.0,NW,71.07,0.0,0.0
26493,26494,2013,1,8,21,4,,,,17.0,-21.0,37.0,1033.0,-9.0,NW,75.09,0.0,0.0
26494,26495,2013,1,8,22,4,,,,19.0,-23.0,31.0,1033.0,-9.0,NW,78.22,0.0,0.0
26495,26496,2013,1,8,23,4,,,,23.0,-23.0,26.0,1034.0,-7.0,NW,82.24,0.0,0.0
26496,26497,2013,1,9,0,4,,,,29.0,-23.0,33.0,1034.0,-10.0,NE,1.79,0.0,0.0
26497,26498,2013,1,9,1,4,,,,22.0,-23.0,36.0,1033.0,-11.0,NW,3.13,0.0,0.0
26498,26499,2013,1,9,2,4,,,,18.0,-22.0,34.0,1033.0,-9.0,NW,7.15,0.0,0.0
26499,26500,2013,1,9,3,4,,,,24.0,-21.0,47.0,1033.0,-12.0,NW,11.17,0.0,0.0
26500,26501,2013,1,9,4,4,,,,22.0,-22.0,43.0,1032.0,-12.0,NW,14.3,0.0,0.0
26501,26502,2013,1,9,5,4,,,,17.0,-21.0,47.0,1032.0,-12.0,NW,16.09,0.0,0.0
26502,26503,2013,1,9,6,4,,,,27.0,-21.0,51.0,1032.0,-13.0,cv,0.89,0.0,0.0
26503,26504,2013,1,9,7,4,,,,44.0,-20.0,55.0,1032.0,-13.0,NW,1.79,0.0,0.0
26504,26505,2013,1,9,8,4,,,,46.0,-20.0,65.0,1032.0,-15.0,NE,1.79,0.0,0.0
26505,26506,2013,1,9,9,4,,,,35.0,-18.0,48.0,1033.0,-9.0,cv,0.89,0.0,0.0
26506,26507,2013,1,9,10,4,,,,48.0,-19.0,34.0,1033.0,-6.0,NW,1.79,0.0,0.0
26507,26508,2013,1,9,11,4,,,,59.0,-20.0,27.0,1032.0,-4.0,cv,0.89,0.0,0.0
26508,26509,2013,1,9,12,4,,,,69.0,-19.0,27.0,1031.0,-3.0,NW,1.79,0.0,0.0
26509,26510,2013,1,9,13,4,,,,72.0,-19.0,24.0,1029.0,-1.0,cv,0.89,0.0,0.0
26510,26511,2013,1,9,14,4,,,,59.0,-23.0,14.0,1028.0,1.0,NW,4.92,0.0,0.0
26511,26512,2013,1,9,15,4,,,,57.0,-23.0,14.0,1028.0,1.0,NW,9.84,0.0,0.0
26512,26513,2013,1,9,16,4,,,,67.0,-23.0,15.0,1028.0,0.0,NW,13.86,0.0,0.0
26513,26514,2013,1,9,17,4,,,,75.0,-18.0,26.0,1028.0,-1.0,SE,4.02,0.0,0.0
26514,26515,2013,1,9,18,4,,,,15.0,-18.0,30.0,1028.0,-3.0,SE,7.15,0.0,0.0
26515,26516,2013,1,9,19,4,,,,38.0,-15.0,45.0,1028.0,-5.0,SE,10.28,0.0,0.0
26516,26517,2013,1,9,20,4,,,,41.0,-15.0,42.0,1029.0,-4.0,SE,12.07,0.0,0.0
26517,26518,2013,1,9,21,4,,,,63.0,-14.0,57.0,1029.0,-7.0,cv,0.89,0.0,0.0
26518,26519,2013,1,9,22,4,,,,234.0,-15.0,57.0,1029.0,-8.0,SE,0.89,0.0,0.0
26519,26520,2013,1,9,23,4,,,,305.0,-15.0,72.0,1029.0,-11.0,cv,0.89,0.0,0.0
26520,26521,2013,1,10,0,4,,,,304.0,-15.0,78.0,1029.0,-12.0,NE,0.89,0.0,0.0
26521,26522,2013,1,10,1,4,,,,303.0,-16.0,72.0,1029.0,-12.0,NE,1.78,0.0,0.0
26522,26523,2013,1,10,2,4,,,,221.0,-17.0,71.0,1029.0,-13.0,NW,1.79,0.0,0.0
26523,26524,2013,1,10,3,4,,,,179.0,-17.0,71.0,1029.0,-13.0,NW,2.68,0.0,0.0
26524,26525,2013,1,10,4,4,,,,162.0,-18.0,71.0,1028.0,-14.0,NW,5.81,0.0,0.0
26525,26526,2013,1,10,5,4,,,,111.0,-18.0,71.0,1028.0,-14.0,NW,8.94,0.0,0.0
26526,26527,2013,1,10,6,4,,,,114.0,-17.0,71.0,1028.0,-13.0,NW,10.73,0.0,0.0
26527,26528,2013,1,10,7,4,,,,81.0,-17.0,71.0,1028.0,-13.0,NW,13.86,0.0,0.0
26528,26529,2013,1,10,8,4,,,,56.0,-16.0,72.0,1029.0,-12.0,NW,16.99,0.0,0.0
26529,26530,2013,1,10,9,4,,,,63.0,-15.0,61.0,1029.0,-9.0,NW,18.78,0.0,0.0
26530,26531,2013,1,10,10,4,,,,79.0,-15.0,52.0,1029.0,-7.0,cv,0.89,0.0,0.0
26531,26532,2013,1,10,11,4,,,,84.0,-15.0,48.0,1029.0,-6.0,cv,1.78,0.0,0.0
26532,26533,2013,1,10,12,4,,,,97.0,-14.0,45.0,1028.0,-4.0,cv,2.67,0.0,0.0
26533,26534,2013,1,10,13,4,,,,111.0,-13.0,45.0,1027.0,-3.0,SE,1.79,0.0,0.0
26534,26535,2013,1,10,14,4,,,,167.0,-11.0,53.0,1027.0,-3.0,SE,3.58,0.0,0.0
26535,26536,2013,1,10,15,4,,,,279.0,-11.0,53.0,1026.0,-3.0,SE,5.37,0.0,0.0
26536,26537,2013,1,10,16,4,,,,395.0,-10.0,58.0,1026.0,-3.0,SE,7.16,0.0,0.0
26537,26538,2013,1,10,17,4,,,,449.0,-9.0,73.0,1026.0,-5.0,SE,8.95,0.0,0.0
26538,26539,2013,1,10,18,4,,,,389.0,-10.0,79.0,1026.0,-7.0,SE,9.84,0.0,0.0
26539,26540,2013,1,10,19,4,,,,421.0,-9.0,85.0,1027.0,-7.0,SE,10.73,0.0,0.0
26540,26541,2013,1,10,20,4,,,,486.0,-9.0,85.0,1027.0,-7.0,SE,12.52,0.0,0.0
26541,26542,2013,1,10,21,4,,,,486.0,-8.0,92.0,1027.0,-7.0,SE,15.65,0.0,0.0
