No,pm,DEWP,TEMP,PRES,Iws,Is,Ir,HUMI,precipitation,Iprec,cbwd,rain,snow
54,83,-9,-8.0,1024.0,76.88,9,0,92.0,0.7,4.0,0.0,0.0,1.0
55,91,-10,-8.0,1024.0,80.9,10,0,85.0,1.0,5.0,0.0,0.0,1.0
56,86,-10,-9.0,1024.0,84.92,11,0,92.0,0.7,5.7,0.0,0.0,1.0
57,82,-10,-9.0,1024.0,89.84,12,0,92.0,0.5,6.2,0.0,0.0,1.0
58,86,-11,-9.0,1023.0,93.86,13,0,85.0,0.7,6.9,0.0,0.0,1.0
59,78,-11,-9.0,1023.0,97.88,15,0,85.0,0.4,7.3,0.0,0.0,1.0
60,98,-11,-9.0,1022.0,102.8,16,0,85.0,0.5,7.8,0.0,0.0,1.0
61,107,-11,-9.0,1021.0,105.93,17,0,85.0,1.1,8.9,0.0,0.0,1.0
62,90,-11,-9.0,1020.0,111.74,19,0,85.0,0.5,9.4,0.0,0.0,1.0
63,96,-11,-9.0,1020.0,116.66,20,0,85.0,0.3,9.7,0.0,0.0,1.0
64,95,-11,-9.0,1020.0,121.58,21,0,85.0,0.5,10.2,0.0,0.0,1.0
65,86,-11,-9.0,1020.0,124.71,22,0,85.0,0.2,10.4,0.0,0.0,1.0
66,70,-11,-9.0,1020.0,127.84,23,0,85.0,0.1,10.5,0.0,0.0,1.0
67,61,-11,-9.0,1021.0,0.89,24,0,85.0,0.4,10.9,2.0,0.0,1.0
68,53,-11,-9.0,1022.0,1.78,25,0,85.0,0.3,11.2,2.0,0.0,1.0
69,71,-10,-9.0,1022.0,4.02,26,0,92.0,0.0,0.0,1.0,0.0,1.0
70,72,-11,-10.0,1023.0,7.15,27,0,92.0,0.0,0.0,1.0,0.0,1.0
71,76,-11,-9.0,1023.0,11.17,0,0,85.0,0.0,0.0,1.0,0.0,0.0
72,73,-12,-11.0,1023.0,14.3,0,0,92.0,0.0,0.0,1.0,0.0,0.0
73,79,-14,-12.0,1023.0,16.09,0,0,85.0,0.0,0.0,1.0,0.0,0.0
74,58,-16,-9.0,1023.0,21.9,0,0,56.0,0.0,0.0,1.0,0.0,0.0
75,25,-17,-10.0,1024.0,29.95,0,0,56.0,0.0,0.0,1.0,0.0,0.0
76,26,-18,-11.0,1024.0,39.78,0,0,56.0,0.0,0.0,1.0,0.0,0.0
77,28,-19,-11.0,1025.0,48.72,0,0,51.0,0.0,0.0,1.0,0.0,0.0
78,26,-20,-12.0,1026.0,55.87,0,0,51.0,0.0,0.0,1.0,0.0,0.0
79,20,-21,-12.0,1027.0,64.81,0,0,47.0,0.0,0.0,1.0,0.0,0.0
80,29,-21,-13.0,1027.0,73.75,0,0,51.0,0.0,0.0,1.0,0.0,0.0
81,26,-22,-13.0,1028.0,80.9,0,0,46.0,0.0,0.0,1.0,0.0,0.0
82,27,-22,-13.0,1029.0,90.73,0,0,46.0,0.0,0.0,1.0,0.0,0.0
83,27,-22,-12.0,1030.0,100.56,0,0,43.0,0.0,0.0,1.0,0.0,0.0
84,25,-23,-12.0,1031.0,108.61,0,0,39.0,0.0,0.0,1.0,0.0,0.0
85,29,-21,-11.0,1030.0,117.55,0,0,43.0,0.0,0.0,1.0,0.0,0.0
86,32,-20,-10.0,1030.0,127.38,0,0,43.0,0.0,0.0,1.0,0.0,0.0
87,28,-21,-10.0,1030.0,136.32,0,0,40.0,0.0,0.0,1.0,0.0,0.0
88,29,-21,-9.0,1030.0,145.26,0,0,37.0,0.0,0.0,1.0,0.0,0.0
89,30,-21,-9.0,1031.0,152.41,0,0,37.0,0.0,0.0,1.0,0.0,0.0
90,30,-20,-11.0,1032.0,159.56,0,0,47.0,0.0,0.0,1.0,0.0,0.0
91,28,-23,-11.0,1032.0,165.37,0,0,36.0,0.0,0.0,1.0,0.0,0.0
92,26,-21,-12.0,1033.0,171.18,0,0,47.0,0.0,0.0,1.0,0.0,0.0
93,31,-24,-12.0,1034.0,180.12,0,0,36.0,0.0,0.0,1.0,0.0,0.0
94,33,-24,-13.0,1034.0,187.27,0,0,39.0,0.0,0.0,1.0,0.0,0.0
95,29,-24,-13.0,1035.0,195.32,0,0,39.0,0.0,0.0,1.0,0.0,0.0
96,31,-26,-15.0,1035.0,198.45,0,0,38.0,0.0,0.0,1.0,0.0,0.0
97,30,-26,-17.0,1035.0,201.58,0,0,45.0,0.0,0.0,1.0,0.0,0.0
98,34,-26,-18.0,1035.0,205.6,0,0,49.0,0.0,0.0,1.0,0.0,0.0
99,27,-26,-19.0,1035.0,208.73,0,0,53.0,0.0,0.0,1.0,0.0,0.0
100,25,-27,-18.0,1035.0,213.65,0,0,45.0,0.0,0.0,1.0,0.0,0.0
101,28,-27,-19.0,1035.0,218.57,0,0,49.0,0.0,0.0,1.0,0.0,0.0
102,28,-27,-16.0,1034.0,4.92,0,0,38.0,0.0,0.0,3.0,0.0,0.0
103,27,-26,-16.0,1035.0,8.05,0,0,41.0,0.0,0.0,3.0,0.0,0.0
104,27,-27,-16.0,1034.0,13.86,0,0,38.0,0.0,0.0,3.0,0.0,0.0
105,27,-26,-16.0,1035.0,18.78,0,0,41.0,0.0,0.0,3.0,0.0,0.0
106,29,-26,-15.0,1035.0,24.59,0,0,38.0,0.0,0.0,3.0,0.0,0.0
107,36,-25,-14.0,1035.0,29.51,0,0,38.0,0.0,0.0,3.0,0.0,0.0
108,30,-25,-13.0,1035.0,34.43,0,0,35.0,0.0,0.0,3.0,0.0,0.0
109,27,-25,-12.0,1034.0,39.35,0,0,33.0,0.0,0.0,3.0,0.0,0.0
110,39,-24,-11.0,1032.0,41.14,0,0,33.0,0.0,0.0,3.0,0.0,0.0
111,41,-22,-11.0,1032.0,0.89,0,0,39.0,0.0,0.0,2.0,0.0,0.0
112,33,-23,-11.0,1031.0,1.79,0,0,36.0,0.0,0.0,1.0,0.0,0.0
113,50,-24,-11.0,1031.0,3.58,0,0,33.0,0.0,0.0,1.0,0.0,0.0
114,56,-23,-11.0,1031.0,5.37,0,0,36.0,0.0,0.0,1.0,0.0,0.0
115,59,-23,-11.0,1032.0,7.16,0,0,36.0,0.0,0.0,1.0,0.0,0.0
116,60,-22,-13.0,1033.0,10.29,0,0,46.0,0.0,0.0,1.0,0.0,0.0
117,84,-22,-12.0,1033.0,13.42,0,0,43.0,0.0,0.0,1.0,0.0,0.0
118,106,-24,-18.0,1033.0,16.55,0,0,59.0,0.0,0.0,1.0,0.0,0.0
119,66,-22,-13.0,1034.0,20.57,0,0,46.0,0.0,0.0,1.0,0.0,0.0
120,50,-22,-16.0,1033.0,23.7,0,0,59.0,0.0,0.0,1.0,0.0,0.0
121,56,-25,-17.0,1033.0,26.83,0,0,49.0,0.0,0.0,1.0,0.0,0.0
122,77,-25,-14.0,1033.0,4.02,0,0,38.0,0.0,0.0,3.0,0.0,0.0
123,50,-26,-14.0,1034.0,8.04,0,0,35.0,0.0,0.0,3.0,0.0,0.0
124,44,-26,-14.0,1033.0,13.85,0,0,35.0,0.0,0.0,3.0,0.0,0.0
125,27,-26,-14.0,1033.0,17.87,0,0,35.0,0.0,0.0,3.0,0.0,0.0
126,28,-26,-14.0,1033.0,23.68,0,0,35.0,0.0,0.0,3.0,0.0,0.0
127,21,-26,-14.0,1033.0,28.6,0,0,35.0,0.0,0.0,3.0,0.0,0.0
128,25,-26,-15.0,1034.0,33.52,0,0,38.0,0.0,0.0,3.0,0.0,0.0
129,20,-26,-14.0,1034.0,39.33,0,0,35.0,0.0,0.0,3.0,0.0,0.0
130,29,-25,-13.0,1035.0,44.25,0,0,35.0,0.0,0.0,3.0,0.0,0.0
131,34,-25,-12.0,1035.0,50.06,0,0,33.0,0.0,0.0,3.0,0.0,0.0
132,42,-24,-11.0,1035.0,54.98,0,0,33.0,0.0,0.0,3.0,0.0,0.0
133,28,-24,-10.0,1034.0,59.0,0,0,30.0,0.0,0.0,3.0,0.0,0.0
134,36,-22,-10.0,1033.0,4.02,0,0,36.0,0.0,0.0,1.0,0.0,0.0
135,48,-22,-9.0,1033.0,5.81,0,0,34.0,0.0,0.0,1.0,0.0,0.0
136,49,-22,-8.0,1033.0,0.89,0,0,31.0,0.0,0.0,2.0,0.0,0.0
137,52,-22,-8.0,1033.0,1.79,0,0,31.0,0.0,0.0,1.0,0.0,0.0
138,56,-21,-9.0,1033.0,3.58,0,0,37.0,0.0,0.0,1.0,0.0,0.0
139,96,-22,-9.0,1033.0,5.37,0,0,34.0,0.0,0.0,1.0,0.0,0.0
140,75,-22,-14.0,1034.0,0.89,0,0,50.0,0.0,0.0,2.0,0.0,0.0
141,105,-22,-12.0,1035.0,1.79,0,0,43.0,0.0,0.0,1.0,0.0,0.0
142,132,-21,-14.0,1034.0,3.58,0,0,55.0,0.0,0.0,1.0,0.0,0.0
143,93,-22,-16.0,1035.0,5.37,0,0,59.0,0.0,0.0,1.0,0.0,0.0
144,131,-21,-16.0,1035.0,7.16,0,0,65.0,0.0,0.0,1.0,0.0,0.0
145,127,-21,-16.0,1035.0,8.95,0,0,65.0,0.0,0.0,1.0,0.0,0.0
146,130,-21,-16.0,1035.0,0.45,0,0,65.0,0.0,0.0,2.0,0.0,0.0
147,43,-22,-18.0,1036.0,1.34,0,0,70.0,0.0,0.0,2.0,0.0,0.0
148,37,-23,-15.0,1036.0,4.02,0,0,50.0,0.0,0.0,1.0,0.0,0.0
149,30,-24,-16.0,1035.0,7.15,0,0,50.0,0.0,0.0,1.0,0.0,0.0
150,28,-25,-15.0,1035.0,10.28,0,0,42.0,0.0,0.0,1.0,0.0,0.0
151,24,-24,-15.0,1035.0,14.3,0,0,46.0,0.0,0.0,1.0,0.0,0.0
152,23,-25,-13.0,1036.0,4.92,0,0,35.0,0.0,0.0,3.0,0.0,0.0
153,24,-24,-14.0,1036.0,4.02,0,0,42.0,0.0,0.0,1.0,0.0,0.0
154,27,-23,-12.0,1036.0,8.94,0,0,39.0,0.0,0.0,1.0,0.0,0.0
155,40,-22,-11.0,1036.0,12.96,0,0,39.0,0.0,0.0,1.0,0.0,0.0
156,42,-20,-10.0,1036.0,16.09,0,0,43.0,0.0,0.0,1.0,0.0,0.0
157,42,-21,-9.0,1035.0,19.22,0,0,37.0,0.0,0.0,1.0,0.0,0.0
158,55,-21,-8.0,1034.0,21.01,0,0,34.0,0.0,0.0,1.0,0.0,0.0
159,52,-20,-7.0,1033.0,22.8,0,0,34.0,0.0,0.0,1.0,0.0,0.0
160,51,-20,-7.0,1032.0,24.59,0,0,34.0,0.0,0.0,1.0,0.0,0.0
161,57,-18,-8.0,1032.0,26.38,0,0,44.0,0.0,0.0,1.0,0.0,0.0
162,50,-19,-9.0,1032.0,28.17,0,0,44.0,0.0,0.0,1.0,0.0,0.0
163,54,-19,-11.0,1032.0,0.89,0,0,51.0,0.0,0.0,3.0,0.0,0.0
164,67,-18,-11.0,1033.0,1.79,0,0,56.0,0.0,0.0,1.0,0.0,0.0
165,106,-19,-15.0,1032.0,1.79,0,0,71.0,0.0,0.0,3.0,0.0,0.0
166,159,-19,-14.0,1032.0,0.45,0,0,65.0,0.0,0.0,2.0,0.0,0.0
167,198,-21,-14.0,1032.0,1.34,0,0,55.0,0.0,0.0,2.0,0.0,0.0
168,190,-21,-16.0,1032.0,2.23,0,0,65.0,0.0,0.0,2.0,0.0,0.0
169,210,-21,-17.0,1031.0,1.79,0,0,71.0,0.0,0.0,1.0,0.0,0.0
170,195,-19,-16.0,1031.0,3.58,0,0,77.0,0.0,0.0,1.0,0.0,0.0
171,275,-20,-16.0,1031.0,0.89,0,0,71.0,0.0,0.0,3.0,0.0,0.0
172,164,-19,-15.0,1030.0,0.89,0,0,71.0,0.0,0.0,0.0,0.0,0.0
173,110,-18,-15.0,1030.0,0.45,0,0,77.0,0.0,0.0,2.0,0.0,0.0
174,100,-18,-15.0,1029.0,1.34,0,0,77.0,0.0,0.0,2.0,0.0,0.0
175,81,-18,-15.0,1029.0,1.79,0,0,77.0,0.0,0.0,1.0,0.0,0.0
176,71,-16,-13.0,1029.0,0.89,0,0,78.0,0.0,0.0,3.0,0.0,0.0
177,66,-16,-12.0,1029.0,0.89,0,0,72.0,0.0,0.0,0.0,0.0,0.0
178,92,-16,-12.0,1030.0,1.78,0,0,72.0,0.0,0.0,0.0,0.0,0.0
179,135,-17,-10.0,1030.0,0.89,0,0,56.0,0.0,0.0,3.0,0.0,0.0
180,155,-16,-10.0,1029.0,0.89,0,0,61.0,0.0,0.0,2.0,0.0,0.0
181,198,-16,-9.0,1028.0,3.13,0,0,56.0,0.0,0.0,0.0,0.0,0.0
182,250,-15,-8.0,1026.0,4.92,0,0,57.0,0.0,0.0,0.0,0.0,0.0
183,200,-16,-8.0,1026.0,0.89,0,0,52.0,0.0,0.0,2.0,0.0,0.0
184,231,-16,-8.0,1025.0,1.78,0,0,52.0,0.0,0.0,2.0,0.0,0.0
185,250,-16,-8.0,1025.0,2.67,0,0,52.0,0.0,0.0,2.0,0.0,0.0
186,212,-17,-8.0,1025.0,0.89,0,0,48.0,0.0,0.0,0.0,0.0,0.0
187,219,-17,-9.0,1026.0,0.45,0,0,52.0,0.0,0.0,2.0,0.0,0.0
188,227,-17,-11.0,1026.0,1.34,0,0,61.0,0.0,0.0,2.0,0.0,0.0
189,226,-17,-12.0,1026.0,1.79,0,0,66.0,0.0,0.0,2.0,0.0,0.0
190,225,-18,-14.0,1027.0,1.79,0,0,71.0,0.0,0.0,1.0,0.0,0.0
191,168,-16,-9.0,1027.0,4.92,0,0,56.0,0.0,0.0,1.0,0.0,0.0
192,169,-16,-11.0,1027.0,6.71,0,0,66.0,0.0,0.0,1.0,0.0,0.0
193,165,-17,-13.0,1027.0,0.89,0,0,71.0,0.0,0.0,2.0,0.0,0.0
194,159,-17,-13.0,1027.0,3.13,0,0,71.0,0.0,0.0,1.0,0.0,0.0
195,167,-17,-14.0,1027.0,4.92,0,0,77.0,0.0,0.0,1.0,0.0,0.0
196,196,-17,-15.0,1027.0,8.05,0,0,84.0,0.0,0.0,1.0,0.0,0.0
197,169,-17,-13.0,1027.0,9.84,0,0,71.0,0.0,0.0,1.0,0.0,0.0
198,155,-19,-16.0,1027.0,13.86,0,0,77.0,0.0,0.0,1.0,0.0,0.0
199,119,-18,-15.0,1027.0,17.88,0,0,77.0,0.0,0.0,1.0,0.0,0.0
200,106,-19,-15.0,1027.0,21.9,0,0,71.0,0.0,0.0,1.0,0.0,0.0
201,93,-18,-14.0,1028.0,25.92,0,0,71.0,0.0,0.0,1.0,0.0,0.0
202,84,-18,-9.0,1029.0,5.81,0,0,48.0,0.0,0.0,3.0,0.0,0.0
203,73,-17,-7.0,1029.0,11.62,0,0,44.0,0.0,0.0,3.0,0.0,0.0
204,66,-17,-6.0,1030.0,17.43,0,0,41.0,0.0,0.0,3.0,0.0,0.0
205,40,-16,-6.0,1029.0,23.24,0,0,45.0,0.0,0.0,3.0,0.0,0.0
206,49,-16,-5.0,1029.0,28.16,0,0,41.0,0.0,0.0,3.0,0.0,0.0
207,50,-15,-4.0,1029.0,33.08,0,0,42.0,0.0,0.0,3.0,0.0,0.0
208,49,-14,-4.0,1028.0,37.1,0,0,45.0,0.0,0.0,3.0,0.0,0.0
209,41,-15,-4.0,1029.0,38.89,0,0,42.0,0.0,0.0,3.0,0.0,0.0
210,37,-15,-4.0,1030.0,1.79,0,0,42.0,0.0,0.0,1.0,0.0,0.0
211,45,-15,-7.0,1030.0,3.13,0,0,52.0,0.0,0.0,3.0,0.0,0.0
212,44,-15,-6.0,1031.0,3.13,0,0,48.0,0.0,0.0,1.0,0.0,0.0
213,54,-15,-7.0,1032.0,4.92,0,0,52.0,0.0,0.0,1.0,0.0,0.0
214,50,-15,-6.0,1032.0,3.13,0,0,48.0,0.0,0.0,3.0,0.0,0.0
215,47,-15,-8.0,1033.0,0.45,0,0,57.0,0.0,0.0,2.0,0.0,0.0
216,66,-15,-8.0,1033.0,0.9,0,0,57.0,0.0,0.0,2.0,0.0,0.0
217,75,-15,-11.0,1033.0,0.89,0,0,72.0,0.0,0.0,1.0,0.0,0.0
218,82,-17,-13.0,1033.0,1.78,0,0,71.0,0.0,0.0,1.0,0.0,0.0
219,66,-17,-12.0,1033.0,4.91,0,0,66.0,0.0,0.0,1.0,0.0,0.0
220,83,-17,-13.0,1033.0,8.04,0,0,71.0,0.0,0.0,1.0,0.0,0.0
221,62,-19,-14.0,1032.0,9.83,0,0,65.0,0.0,0.0,1.0,0.0,0.0
222,40,-18,-13.0,1032.0,12.96,0,0,66.0,0.0,0.0,1.0,0.0,0.0
223,23,-19,-13.0,1032.0,16.09,0,0,60.0,0.0,0.0,1.0,0.0,0.0
224,25,-19,-14.0,1033.0,19.22,0,0,65.0,0.0,0.0,1.0,0.0,0.0
225,27,-19,-14.0,1034.0,22.35,0,0,65.0,0.0,0.0,1.0,0.0,0.0
226,35,-17,-12.0,1033.0,24.14,0,0,66.0,0.0,0.0,1.0,0.0,0.0
227,50,-16,-7.0,1033.0,4.02,0,0,48.0,0.0,0.0,3.0,0.0,0.0
228,70,-15,-7.0,1033.0,3.13,0,0,52.0,0.0,0.0,1.0,0.0,0.0
229,75,-15,-7.0,1032.0,6.26,0,0,52.0,0.0,0.0,1.0,0.0,0.0
230,58,-14,-6.0,1031.0,9.39,0,0,53.0,0.0,0.0,1.0,0.0,0.0
231,70,-14,-6.0,1031.0,12.52,0,0,53.0,0.0,0.0,1.0,0.0,0.0
232,68,-13,-5.0,1030.0,14.31,0,0,53.0,0.0,0.0,1.0,0.0,0.0
233,71,-14,-5.0,1031.0,16.1,0,0,49.0,0.0,0.0,1.0,0.0,0.0
234,88,-14,-6.0,1031.0,19.23,0,0,53.0,0.0,0.0,1.0,0.0,0.0
235,84,-13,-7.0,1032.0,23.25,0,0,62.0,0.0,0.0,1.0,0.0,0.0
236,83,-15,-6.0,1032.0,27.27,0,0,48.0,0.0,0.0,1.0,0.0,0.0
237,66,-15,-6.0,1033.0,30.4,0,0,48.0,0.0,0.0,1.0,0.0,0.0
238,27,-15,-4.0,1034.0,35.32,0,0,42.0,0.0,0.0,1.0,0.0,0.0
239,24,-16,-4.0,1034.0,44.26,0,0,38.0,0.0,0.0,1.0,0.0,0.0
240,22,-17,-5.0,1035.0,52.31,0,0,38.0,0.0,0.0,1.0,0.0,0.0
241,23,-17,-6.0,1035.0,60.36,0,0,41.0,0.0,0.0,1.0,0.0,0.0
242,27,-17,-8.0,1035.0,0.89,0,0,48.0,0.0,0.0,2.0,0.0,0.0
243,23,-19,-11.0,1036.0,4.02,0,0,51.0,0.0,0.0,1.0,0.0,0.0
244,17,-20,-11.0,1036.0,8.94,0,0,47.0,0.0,0.0,1.0,0.0,0.0
245,17,-21,-11.0,1035.0,4.02,0,0,43.0,0.0,0.0,3.0,0.0,0.0
246,16,-22,-12.0,1035.0,3.13,0,0,43.0,0.0,0.0,1.0,0.0,0.0
247,16,-22,-12.0,1035.0,4.92,0,0,43.0,0.0,0.0,3.0,0.0,0.0
248,20,-22,-13.0,1036.0,5.81,0,0,46.0,0.0,0.0,1.0,0.0,0.0
249,20,-22,-9.0,1036.0,13.86,0,0,34.0,0.0,0.0,1.0,0.0,0.0
250,18,-22,-10.0,1036.0,21.91,0,0,36.0,0.0,0.0,1.0,0.0,0.0
251,25,-22,-9.0,1036.0,29.06,0,0,34.0,0.0,0.0,1.0,0.0,0.0
252,26,-21,-9.0,1036.0,33.08,0,0,37.0,0.0,0.0,1.0,0.0,0.0
253,27,-20,-6.0,1035.0,42.02,0,0,32.0,0.0,0.0,1.0,0.0,0.0
254,28,-19,-5.0,1034.0,50.96,0,0,32.0,0.0,0.0,1.0,0.0,0.0
255,15,-19,-5.0,1033.0,59.01,0,0,32.0,0.0,0.0,1.0,0.0,0.0
256,24,-20,-5.0,1033.0,66.16,0,0,29.0,0.0,0.0,1.0,0.0,0.0
257,13,-20,-5.0,1032.0,71.97,0,0,29.0,0.0,0.0,1.0,0.0,0.0
258,13,-20,-5.0,1033.0,76.89,0,0,29.0,0.0,0.0,1.0,0.0,0.0
259,13,-20,-7.0,1033.0,81.81,0,0,34.0,0.0,0.0,1.0,0.0,0.0
260,17,-22,-7.0,1033.0,85.83,0,0,29.0,0.0,0.0,1.0,0.0,0.0
261,20,-22,-8.0,1033.0,89.85,0,0,31.0,0.0,0.0,1.0,0.0,0.0
262,27,-23,-10.0,1033.0,91.64,0,0,33.0,0.0,0.0,1.0,0.0,0.0
263,20,-23,-13.0,1033.0,93.43,0,0,42.0,0.0,0.0,1.0,0.0,0.0
264,15,-22,-12.0,1032.0,0.89,0,0,43.0,0.0,0.0,2.0,0.0,0.0
265,21,-22,-15.0,1031.0,1.78,0,0,55.0,0.0,0.0,2.0,0.0,0.0
266,21,-22,-14.0,1031.0,1.79,0,0,50.0,0.0,0.0,3.0,0.0,0.0
267,37,-22,-14.0,1031.0,0.89,0,0,50.0,0.0,0.0,1.0,0.0,0.0
268,26,-24,-18.0,1030.0,1.79,0,0,59.0,0.0,0.0,3.0,0.0,0.0
269,15,-24,-13.0,1030.0,3.58,0,0,39.0,0.0,0.0,3.0,0.0,0.0
270,9,-25,-14.0,1030.0,3.13,0,0,38.0,0.0,0.0,1.0,0.0,0.0
271,11,-24,-14.0,1030.0,7.15,0,0,42.0,0.0,0.0,1.0,0.0,0.0
272,11,-25,-12.0,1030.0,12.96,0,0,33.0,0.0,0.0,1.0,0.0,0.0
273,16,-26,-14.0,1030.0,16.98,0,0,35.0,0.0,0.0,1.0,0.0,0.0
274,13,-25,-12.0,1031.0,21.0,0,0,33.0,0.0,0.0,1.0,0.0,0.0
275,15,-25,-11.0,1031.0,26.81,0,0,30.0,0.0,0.0,1.0,0.0,0.0
276,21,-24,-11.0,1030.0,35.75,0,0,33.0,0.0,0.0,1.0,0.0,0.0
277,24,-23,-11.0,1029.0,47.82,0,0,36.0,0.0,0.0,1.0,0.0,0.0
278,22,-22,-11.0,1029.0,63.02,0,0,39.0,0.0,0.0,1.0,0.0,0.0
279,22,-23,-11.0,1029.0,75.98,0,0,36.0,0.0,0.0,1.0,0.0,0.0
280,22,-22,-11.0,1029.0,88.05,0,0,39.0,0.0,0.0,1.0,0.0,0.0
281,19,-23,-11.0,1030.0,101.01,0,0,36.0,0.0,0.0,1.0,0.0,0.0
282,23,-24,-11.0,1030.0,109.06,0,0,33.0,0.0,0.0,1.0,0.0,0.0
283,25,-24,-11.0,1032.0,118.0,0,0,33.0,0.0,0.0,1.0,0.0,0.0
284,25,-23,-11.0,1032.0,126.05,0,0,36.0,0.0,0.0,1.0,0.0,0.0
285,31,-23,-12.0,1032.0,134.1,0,0,39.0,0.0,0.0,1.0,0.0,0.0
286,25,-24,-12.0,1033.0,142.15,0,0,36.0,0.0,0.0,1.0,0.0,0.0
287,22,-23,-12.0,1033.0,150.2,0,0,39.0,0.0,0.0,1.0,0.0,0.0
288,22,-23,-12.0,1034.0,160.03,0,0,39.0,0.0,0.0,1.0,0.0,0.0
289,15,-24,-12.0,1034.0,169.86,0,0,36.0,0.0,0.0,1.0,0.0,0.0
290,16,-24,-12.0,1033.0,178.8,0,0,36.0,0.0,0.0,1.0,0.0,0.0
291,11,-25,-12.0,1033.0,189.98,0,0,33.0,0.0,0.0,1.0,0.0,0.0
292,11,-24,-13.0,1033.0,198.03,0,0,39.0,0.0,0.0,1.0,0.0,0.0
293,12,-25,-12.0,1032.0,205.18,0,0,33.0,0.0,0.0,1.0,0.0,0.0
294,11,-25,-12.0,1033.0,215.01,0,0,33.0,0.0,0.0,1.0,0.0,0.0
295,12,-25,-12.0,1032.0,226.19,0,0,33.0,0.0,0.0,1.0,0.0,0.0
296,27,-25,-12.0,1032.0,235.13,0,0,33.0,0.0,0.0,1.0,0.0,0.0
297,28,-25,-12.0,1032.0,243.18,0,0,33.0,0.0,0.0,1.0,0.0,0.0
298,34,-23,-11.0,1033.0,252.12,0,0,36.0,0.0,0.0,1.0,0.0,0.0
299,33,-23,-10.0,1033.0,257.93,0,0,33.0,0.0,0.0,1.0,0.0,0.0
300,36,-22,-9.0,1033.0,263.74,0,0,34.0,0.0,0.0,1.0,0.0,0.0
301,26,-21,-8.0,1031.0,270.89,0,0,34.0,0.0,0.0,1.0,0.0,0.0
302,49,-21,-6.0,1030.0,278.94,0,0,29.0,0.0,0.0,1.0,0.0,0.0
303,52,-20,-5.0,1029.0,286.99,0,0,29.0,0.0,0.0,1.0,0.0,0.0
304,47,-22,-5.0,1028.0,294.14,0,0,24.0,0.0,0.0,1.0,0.0,0.0
305,47,-21,-5.0,1028.0,299.06,0,0,27.0,0.0,0.0,1.0,0.0,0.0
306,39,-19,-7.0,1028.0,1.79,0,0,37.0,0.0,0.0,0.0,0.0,0.0
307,59,-19,-8.0,1028.0,0.45,0,0,40.0,0.0,0.0,2.0,0.0,0.0
