,No,year,month,day,hour,season,PM_Dongsi,PM_Dongsihuan,PM_Nongzhanguan,PM_US Post,DEWP,HUMI,PRES,TEMP,cbwd,Iws,precipitation,Iprec
107,108,2010,1,5,11,4,,,,27.0,-25.0,35.0,1035.0,-13.0,NE,34.43,0.0,0.0
108,109,2010,1,5,12,4,,,,39.0,-25.0,33.0,1034.0,-12.0,NE,39.35,0.0,0.0
109,110,2010,1,5,13,4,,,,41.0,-24.0,33.0,1032.0,-11.0,NE,41.14,0.0,0.0
110,111,2010,1,5,14,4,,,,33.0,-22.0,39.0,1032.0,-11.0,cv,0.89,0.0,0.0
111,112,2010,1,5,15,4,,,,50.0,-23.0,36.0,1031.0,-11.0,NW,1.79,0.0,0.0
112,113,2010,1,5,16,4,,,,56.0,-24.0,33.0,1031.0,-11.0,NW,3.58,0.0,0.0
113,114,2010,1,5,17,4,,,,59.0,-23.0,36.0,1031.0,-11.0,NW,5.37,0.0,0.0
114,115,2010,1,5,18,4,,,,60.0,-23.0,36.0,1032.0,-11.0,NW,7.16,0.0,0.0
115,116,2010,1,5,19,4,,,,84.0,-22.0,46.0,1033.0,-13.0,NW,10.29,0.0,0.0
116,117,2010,1,5,20,4,,,,106.0,-22.0,43.0,1033.0,-12.0,NW,13.42,0.0,0.0
117,118,2010,1,5,21,4,,,,66.0,-24.0,59.0,1033.0,-18.0,NW,16.55,0.0,0.0
118,119,2010,1,5,22,4,,,,50.0,-22.0,46.0,1034.0,-13.0,NW,20.57,0.0,0.0
119,120,2010,1,5,23,4,,,,56.0,-22.0,59.0,1033.0,-16.0,NW,23.7,0.0,0.0
120,121,2010,1,6,0,4,,,,77.0,-25.0,49.0,1033.0,-17.0,NW,26.83,0.0,0.0
121,122,2010,1,6,1,4,,,,50.0,-25.0,38.0,1033.0,-14.0,NE,4.02,0.0,0.0
122,123,2010,1,6,2,4,,,,44.0,-26.0,35.0,1034.0,-14.0,NE,8.04,0.0,0.0
123,124,2010,1,6,3,4,,,,27.0,-26.0,35.0,1033.0,-14.0,NE,13.85,0.0,0.0
124,125,2010,1,6,4,4,,,,28.0,-26.0,35.0,1033.0,-14.0,NE,17.87,0.0,0.0
125,126,2010,1,6,5,4,,,,21.0,-26.0,35.0,1033.0,-14.0,NE,23.68,0.0,0.0
126,127,2010,1,6,6,4,,,,25.0,-26.0,35.0,1033.0,-14.0,NE,28.6,0.0,0.0
127,128,2010,1,6,7,4,,,,20.0,-26.0,38.0,1034.0,-15.0,NE,33.52,0.0,0.0
128,129,2010,1,6,8,4,,,,29.0,-26.0,35.0,1034.0,-14.0,NE,39.33,0.0,0.0
129,130,2010,1,6,9,4,,,,34.0,-25.0,35.0,1035.0,-13.0,NE,44.25,0.0,0.0
130,131,2010,1,6,10,4,,,,42.0,-25.0,33.0,1035.0,-12.0,NE,50.06,0.0,0.0
131,132,2010,1,6,11,4,,,,28.0,-24.0,33.0,1035.0,-11.0,NE,54.98,0.0,0.0
132,133,2010,1,6,12,4,,,,36.0,-24.0,30.0,1034.0,-10.0,NE,59.0,0.0,0.0
133,134,2010,1,6,13,4,,,,48.0,-22.0,36.0,1033.0,-10.0,NW,4.02,0.0,0.0
134,135,2010,1,6,14,4,,,,49.0,-22.0,34.0,1033.0,-9.0,NW,5.81,0.0,0.0
135,136,2010,1,6,15,4,,,,52.0,-22.0,31.0,1033.0,-8.0,cv,0.89,0.0,0.0
136,137,2010,1,6,16,4,,,,56.0,-22.0,31.0,1033.0,-8.0,NW,1.79,0.0,0.0
137,138,2010,1,6,17,4,,,,96.0,-21.0,37.0,1033.0,-9.0,NW,3.58,0.0,0.0
138,139,2010,1,6,18,4,,,,75.0,-22.0,34.0,1033.0,-9.0,NW,5.37,0.0,0.0
139,140,2010,1,6,19,4,,,,105.0,-22.0,50.0,1034.0,-14.0,cv,0.89,0.0,0.0
140,141,2010,1,6,20,4,,,,132.0,-22.0,43.0,1035.0,-12.0,NW,1.79,0.0,0.0
141,142,2010,1,6,21,4,,,,93.0,-21.0,55.0,1034.0,-14.0,NW,3.58,0.0,0.0
142,143,2010,1,6,22,4,,,,131.0,-22.0,59.0,1035.0,-16.0,NW,5.37,0.0,0.0
143,144,2010,1,6,23,4,,,,127.0,-21.0,65.0,1035.0,-16.0,NW,7.16,0.0,0.0
144,145,2010,1,7,0,4,,,,130.0,-21.0,65.0,1035.0,-16.0,NW,8.95,0.0,0.0
145,146,2010,1,7,1,4,,,,43.0,-21.0,65.0,1035.0,-16.0,cv,0.45,0.0,0.0
146,147,2010,1,7,2,4,,,,37.0,-22.0,70.0,1036.0,-18.0,cv,1.34,0.0,0.0
147,148,2010,1,7,3,4,,,,30.0,-23.0,50.0,1036.0,-15.0,NW,4.02,0.0,0.0
148,149,2010,1,7,4,4,,,,28.0,-24.0,50.0,1035.0,-16.0,NW,7.15,0.0,0.0
149,150,2010,1,7,5,4,,,,24.0,-25.0,42.0,1035.0,-15.0,NW,10.28,0.0,0.0
150,151,2010,1,7,6,4,,,,23.0,-24.0,46.0,1035.0,-15.0,NW,14.3,0.0,0.0
151,152,2010,1,7,7,4,,,,24.0,-25.0,35.0,1036.0,-13.0,NE,4.92,0.0,0.0
152,153,2010,1,7,8,4,,,,27.0,-24.0,42.0,1036.0,-14.0,NW,4.02,0.0,0.0
153,154,2010,1,7,9,4,,,,40.0,-23.0,39.0,1036.0,-12.0,NW,8.94,0.0,0.0
154,155,2010,1,7,10,4,,,,42.0,-22.0,39.0,1036.0,-11.0,NW,12.96,0.0,0.0
155,156,2010,1,7,11,4,,,,42.0,-20.0,43.0,1036.0,-10.0,NW,16.09,0.0,0.0
156,157,2010,1,7,12,4,,,,55.0,-21.0,37.0,1035.0,-9.0,NW,19.22,0.0,0.0
157,158,2010,1,7,13,4,,,,52.0,-21.0,34.0,1034.0,-8.0,NW,21.01,0.0,0.0
158,159,2010,1,7,14,4,,,,51.0,-20.0,34.0,1033.0,-7.0,NW,22.8,0.0,0.0
159,160,2010,1,7,15,4,,,,57.0,-20.0,34.0,1032.0,-7.0,NW,24.59,0.0,0.0
160,161,2010,1,7,16,4,,,,50.0,-18.0,44.0,1032.0,-8.0,NW,26.38,0.0,0.0
161,162,2010,1,7,17,4,,,,54.0,-19.0,44.0,1032.0,-9.0,NW,28.17,0.0,0.0
162,163,2010,1,7,18,4,,,,67.0,-19.0,51.0,1032.0,-11.0,NE,0.89,0.0,0.0
163,164,2010,1,7,19,4,,,,106.0,-18.0,56.0,1033.0,-11.0,NW,1.79,0.0,0.0
164,165,2010,1,7,20,4,,,,159.0,-19.0,71.0,1032.0,-15.0,NE,1.79,0.0,0.0
165,166,2010,1,7,21,4,,,,198.0,-19.0,65.0,1032.0,-14.0,cv,0.45,0.0,0.0
166,167,2010,1,7,22,4,,,,190.0,-21.0,55.0,1032.0,-14.0,cv,1.34,0.0,0.0
167,168,2010,1,7,23,4,,,,210.0,-21.0,65.0,1032.0,-16.0,cv,2.23,0.0,0.0
168,169,2010,1,8,0,4,,,,195.0,-21.0,71.0,1031.0,-17.0,NW,1.79,0.0,0.0
169,170,2010,1,8,1,4,,,,275.0,-19.0,77.0,1031.0,-16.0,NW,3.58,0.0,0.0
170,171,2010,1,8,2,4,,,,164.0,-20.0,71.0,1031.0,-16.0,NE,0.89,0.0,0.0
171,172,2010,1,8,3,4,,,,110.0,-19.0,71.0,1030.0,-15.0,SE,0.89,0.0,0.0
172,173,2010,1,8,4,4,,,,100.0,-18.0,77.0,1030.0,-15.0,cv,0.45,0.0,0.0
173,174,2010,1,8,5,4,,,,81.0,-18.0,77.0,1029.0,-15.0,cv,1.34,0.0,0.0
174,175,2010,1,8,6,4,,,,71.0,-18.0,77.0,1029.0,-15.0,NW,1.79,0.0,0.0
175,176,2010,1,8,7,4,,,,66.0,-16.0,78.0,1029.0,-13.0,NE,0.89,0.0,0.0
176,177,2010,1,8,8,4,,,,92.0,-16.0,72.0,1029.0,-12.0,SE,0.89,0.0,0.0
177,178,2010,1,8,9,4,,,,135.0,-16.0,72.0,1030.0,-12.0,SE,1.78,0.0,0.0
178,179,2010,1,8,10,4,,,,155.0,-17.0,56.0,1030.0,-10.0,NE,0.89,0.0,0.0
179,180,2010,1,8,11,4,,,,198.0,-16.0,61.0,1029.0,-10.0,cv,0.89,0.0,0.0
180,181,2010,1,8,12,4,,,,250.0,-16.0,56.0,1028.0,-9.0,SE,3.13,0.0,0.0
181,182,2010,1,8,13,4,,,,200.0,-15.0,57.0,1026.0,-8.0,SE,4.92,0.0,0.0
182,183,2010,1,8,14,4,,,,231.0,-16.0,52.0,1026.0,-8.0,cv,0.89,0.0,0.0
183,184,2010,1,8,15,4,,,,250.0,-16.0,52.0,1025.0,-8.0,cv,1.78,0.0,0.0
184,185,2010,1,8,16,4,,,,212.0,-16.0,52.0,1025.0,-8.0,cv,2.67,0.0,0.0
185,186,2010,1,8,17,4,,,,219.0,-17.0,48.0,1025.0,-8.0,SE,0.89,0.0,0.0
186,187,2010,1,8,18,4,,,,227.0,-17.0,52.0,1026.0,-9.0,cv,0.45,0.0,0.0
187,188,2010,1,8,19,4,,,,226.0,-17.0,61.0,1026.0,-11.0,cv,1.34,0.0,0.0
188,189,2010,1,8,20,4,,,,225.0,-17.0,66.0,1026.0,-12.0,cv,1.79,0.0,0.0
189,190,2010,1,8,21,4,,,,168.0,-18.0,71.0,1027.0,-14.0,NW,1.79,0.0,0.0
190,191,2010,1,8,22,4,,,,169.0,-16.0,56.0,1027.0,-9.0,NW,4.92,0.0,0.0
191,192,2010,1,8,23,4,,,,165.0,-16.0,66.0,1027.0,-11.0,NW,6.71,0.0,0.0
192,193,2010,1,9,0,4,,,,159.0,-17.0,71.0,1027.0,-13.0,cv,0.89,0.0,0.0
193,194,2010,1,9,1,4,,,,167.0,-17.0,71.0,1027.0,-13.0,NW,3.13,0.0,0.0
194,195,2010,1,9,2,4,,,,196.0,-17.0,77.0,1027.0,-14.0,NW,4.92,0.0,0.0
195,196,2010,1,9,3,4,,,,169.0,-17.0,84.0,1027.0,-15.0,NW,8.05,0.0,0.0
196,197,2010,1,9,4,4,,,,155.0,-17.0,71.0,1027.0,-13.0,NW,9.84,0.0,0.0
197,198,2010,1,9,5,4,,,,119.0,-19.0,77.0,1027.0,-16.0,NW,13.86,0.0,0.0
198,199,2010,1,9,6,4,,,,106.0,-18.0,77.0,1027.0,-15.0,NW,17.88,0.0,0.0
199,200,2010,1,9,7,4,,,,93.0,-19.0,71.0,1027.0,-15.0,NW,21.9,0.0,0.0
200,201,2010,1,9,8,4,,,,84.0,-18.0,71.0,1028.0,-14.0,NW,25.92,0.0,0.0
201,202,2010,1,9,9,4,,,,73.0,-18.0,48.0,1029.0,-9.0,NE,5.81,0.0,0.0
202,203,2010,1,9,10,4,,,,66.0,-17.0,44.0,1029.0,-7.0,NE,11.62,0.0,0.0
203,204,2010,1,9,11,4,,,,40.0,-17.0,41.0,1030.0,-6.0,NE,17.43,0.0,0.0
204,205,2010,1,9,12,4,,,,49.0,-16.0,45.0,1029.0,-6.0,NE,23.24,0.0,0.0
205,206,2010,1,9,13,4,,,,50.0,-16.0,41.0,1029.0,-5.0,NE,28.16,0.0,0.0
206,207,2010,1,9,14,4,,,,49.0,-15.0,42.0,1029.0,-4.0,NE,33.08,0.0,0.0
207,208,2010,1,9,15,4,,,,41.0,-14.0,45.0,1028.0,-4.0,NE,37.1,0.0,0.0
208,209,2010,1,9,16,4,,,,37.0,-15.0,42.0,1029.0,-4.0,NE,38.89,0.0,0.0
209,210,2010,1,9,17,4,,,,45.0,-15.0,42.0,1030.0,-4.0,NW,1.79,0.0,0.0
210,211,2010,1,9,18,4,,,,44.0,-15.0,52.0,1030.0,-7.0,NE,3.13,0.0,0.0
211,212,2010,1,9,19,4,,,,54.0,-15.0,48.0,1031.0,-6.0,NW,3.13,0.0,0.0
212,213,2010,1,9,20,4,,,,50.0,-15.0,52.0,1032.0,-7.0,NW,4.92,0.0,0.0
213,214,2010,1,9,21,4,,,,47.0,-15.0,48.0,1032.0,-6.0,NE,3.13,0.0,0.0
214,215,2010,1,9,22,4,,,,66.0,-15.0,57.0,1033.0,-8.0,cv,0.45,0.0,0.0
215,216,2010,1,9,23,4,,,,75.0,-15.0,57.0,1033.0,-8.0,cv,0.9,0.0,0.0
216,217,2010,1,10,0,4,,,,82.0,-15.0,72.0,1033.0,-11.0,NW,0.89,0.0,0.0
217,218,2010,1,10,1,4,,,,66.0,-17.0,71.0,1033.0,-13.0,NW,1.78,0.0,0.0
218,219,2010,1,10,2,4,,,,83.0,-17.0,66.0,1033.0,-12.0,NW,4.91,0.0,0.0
219,220,2010,1,10,3,4,,,,62.0,-17.0,71.0,1033.0,-13.0,NW,8.04,0.0,0.0
220,221,2010,1,10,4,4,,,,40.0,-19.0,65.0,1032.0,-14.0,NW,9.83,0.0,0.0
221,222,2010,1,10,5,4,,,,23.0,-18.0,66.0,1032.0,-13.0,NW,12.96,0.0,0.0
222,223,2010,1,10,6,4,,,,25.0,-19.0,60.0,1032.0,-13.0,NW,16.09,0.0,0.0
223,224,2010,1,10,7,4,,,,27.0,-19.0,65.0,1033.0,-14.0,NW,19.22,0.0,0.0
224,225,2010,1,10,8,4,,,,35.0,-19.0,65.0,1034.0,-14.0,NW,22.35,0.0,0.0
225,226,2010,1,10,9,4,,,,50.0,-17.0,66.0,1033.0,-12.0,NW,24.14,0.0,0.0
226,227,2010,1,10,10,4,,,,70.0,-16.0,48.0,1033.0,-7.0,NE,4.02,0.0,0.0
227,228,2010,1,10,11,4,,,,75.0,-15.0,52.0,1033.0,-7.0,NW,3.13,0.0,0.0
228,229,2010,1,10,12,4,,,,58.0,-15.0,52.0,1032.0,-7.0,NW,6.26,0.0,0.0
229,230,2010,1,10,13,4,,,,70.0,-14.0,53.0,1031.0,-6.0,NW,9.39,0.0,0.0
230,231,2010,1,10,14,4,,,,68.0,-14.0,53.0,1031.0,-6.0,NW,12.52,0.0,0.0
231,232,2010,1,10,15,4,,,,71.0,-13.0,53.0,1030.0,-5.0,NW,14.31,0.0,0.0
232,233,2010,1,10,16,4,,,,88.0,-14.0,49.0,1031.0,-5.0,NW,16.1,0.0,0.0
233,234,2010,1,10,17,4,,,,84.0,-14.0,53.0,1031.0,-6.0,NW,19.23,0.0,0.0
234,235,2010,1,10,18,4,,,,83.0,-13.0,62.0,1032.0,-7.0,NW,23.25,0.0,0.0
235,236,2010,1,10,19,4,,,,66.0,-15.0,48.0,1032.0,-6.0,NW,27.27,0.0,0.0
236,237,2010,1,10,20,4,,,,27.0,-15.0,48.0,1033.0,-6.0,NW,30.4,0.0,0.0
237,238,2010,1,10,21,4,,,,24.0,-15.0,42.0,1034.0,-4.0,NW,35.32,0.0,0.0
238,239,2010,1,10,22,4,,,,22.0,-16.0,38.0,1034.0,-4.0,NW,44.26,0.0,0.0
239,240,2010,1,10,23,4,,,,23.0,-17.0,38.0,1035.0,-5.0,NW,52.31,0.0,0.0
240,241,2010,1,11,0,4,,,,27.0,-17.0,41.0,1035.0,-6.0,NW,60.36,0.0,0.0
241,242,2010,1,11,1,4,,,,23.0,-17.0,48.0,1035.0,-8.0,cv,0.89,0.0,0.0
242,243,2010,1,11,2,4,,,,17.0,-19.0,51.0,1036.0,-11.0,NW,4.02,0.0,0.0
243,244,2010,1,11,3,4,,,,17.0,-20.0,47.0,1036.0,-11.0,NW,8.94,0.0,0.0
244,245,2010,1,11,4,4,,,,16.0,-21.0,43.0,1035.0,-11.0,NE,4.02,0.0,0.0
245,246,2010,1,11,5,4,,,,16.0,-22.0,43.0,1035.0,-12.0,NW,3.13,0.0,0.0
246,247,2010,1,11,6,4,,,,20.0,-22.0,43.0,1035.0,-12.0,NE,4.92,0.0,0.0
